model,status,question,horizon,condition,fresh_probability,authors_panel_median,matched_baseline_probability,matched_baseline
GPT-6 Astra,complete,ladder:ai:100,6mo,unconditional,0.94,0.91,0.9,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,6mo,unconditional,0.96,0.91,0.92,Original Opus 5
Fable 5.1,refused,ladder:ai:100,6mo,unconditional,,0.91,0.95,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,6mo,unconditional,0.7,0.91,0.15,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,6mo,sq,0.94,0.9105000000000001,0.9,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,6mo,sq,0.96,0.9105000000000001,0.921,Original Opus 5
Fable 5.1,refused,ladder:ai:100,6mo,sq,,0.9105000000000001,0.95,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,6mo,sq,0.7,0.9105000000000001,0.15,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,6mo,p1,0.945,0.9155,0.91,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,6mo,p1,0.96,0.9155,0.921,Original Opus 5
Fable 5.1,refused,ladder:ai:100,6mo,p1,,0.9155,0.95,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,6mo,p1,0.735,0.9155,0.157,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,6mo,p2a,0.92,0.9,0.88,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,6mo,p2a,0.955,0.9,0.92,Original Opus 5
Fable 5.1,refused,ladder:ai:100,6mo,p2a,,0.9,0.95,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,6mo,p2a,0.63,0.9,0.142,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,6mo,p2b,0.9,0.8895,0.86,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,6mo,p2b,0.94,0.8895,0.919,Original Opus 5
Fable 5.1,refused,ladder:ai:100,6mo,p2b,,0.8895,0.95,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,6mo,p2b,0.42,0.8895,0.127,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,6mo,p3a,0.89,0.89,0.86,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,6mo,p3a,0.95,0.89,0.92,Original Opus 5
Fable 5.1,refused,ladder:ai:100,6mo,p3a,,0.89,0.9485,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,6mo,p3a,0.595,0.89,0.135,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,6mo,p3b,0.85,0.8745,0.83,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,6mo,p3b,0.94,0.8745,0.919,Original Opus 5
Fable 5.1,refused,ladder:ai:100,6mo,p3b,,0.8745,0.948,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,6mo,p3b,0.49,0.8745,0.12,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,6mo,p4,0.88,0.895,0.87,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,6mo,p4,0.95,0.895,0.92,Original Opus 5
Fable 5.1,refused,ladder:ai:100,6mo,p4,,0.895,0.947,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,6mo,p4,0.56,0.895,0.127,Initial Gemini pilot
GPT-6 Astra,complete,ladder:ai:100,6mo,p5,0.8,0.859,0.8,Original GPT-6 Astra
Opus 5,complete,ladder:ai:100,6mo,p5,0.92,0.859,0.918,Original Opus 5
Fable 5.1,refused,ladder:ai:100,6mo,p5,,0.859,0.946,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:ai:100,6mo,p5,0.28,0.859,0.09,Initial Gemini pilot
