question,horizon,condition,fresh_probability,authors_panel_median,fresh_paired_multiplier,authors_panel_paired_multiplier
ladder:ai:100,6mo,unconditional,0.96,0.91,1.0,1.0
ladder:ai:100,6mo,sq,0.96,0.9105000000000001,1.0,1.0005433306567684
ladder:ai:100,6mo,p1,0.96,0.9155,1.0,1.0060865494218358
ladder:ai:100,6mo,p2a,0.955,0.9,0.9947916666666666,0.9888264649460884
ladder:ai:100,6mo,p2b,0.94,0.8895,0.9791666666666666,0.9769938117575568
ladder:ai:100,6mo,p3a,0.95,0.89,0.9895833333333334,0.9767531845997386
ladder:ai:100,6mo,p3b,0.94,0.8745,0.9791666666666666,0.9593126194074515
ladder:ai:100,6mo,p4,0.95,0.895,0.9895833333333334,0.9816384441777529
ladder:ai:100,6mo,p5,0.92,0.859,0.9583333333333334,0.940822086704181
ladder:ai:100,6mo,eci_p10,0.95,0.8734999999999999,0.9895833333333334,0.9583001519808654
ladder:ai:100,6mo,eci_p25,0.955,0.8895,0.9947916666666666,0.9764957038559477
ladder:ai:100,6mo,eci_p50,0.96,0.905,1.0,1.0
ladder:ai:100,6mo,eci_p75,0.968,0.9255,1.0083333333333333,1.0175995145094285
ladder:ai:100,6mo,eci_p90,0.975,0.938,1.015625,1.0349675814907644
ladder:ai:100,12mo,unconditional,0.98,0.9675,1.0,1.0
ladder:ai:100,12mo,sq,0.98,0.968,1.0,1.0015432025825945
ladder:ai:100,12mo,p1,0.98,0.9675,1.0,1.0025529783695362
ladder:ai:100,12mo,p2a,0.978,0.9664999999999999,0.9979591836734694,0.997440487228372
ladder:ai:100,12mo,p2b,0.97,0.963,0.9897959183673469,0.9938423444680776
ladder:ai:100,12mo,p3a,0.975,0.9615,0.9948979591836735,0.9917926529028398
ladder:ai:100,12mo,p3b,0.968,0.9544999999999999,0.9877551020408163,0.9850676622700445
ladder:ai:100,12mo,p4,0.975,0.9624999999999999,0.9948979591836735,0.9923122245247308
ladder:ai:100,12mo,p5,0.955,0.944,0.9744897959183674,0.9741350838329315
ladder:ai:100,12mo,eci_p10,0.972,0.949,0.9918367346938776,0.9793583656928777
ladder:ai:100,12mo,eci_p25,0.976,0.962,0.9959183673469387,0.9928140541312035
ladder:ai:100,12mo,eci_p50,0.98,0.9675,1.0,1.0
