question,horizon,condition,fresh_probability,authors_panel_median,fresh_paired_multiplier,authors_panel_paired_multiplier
ladder:ai:100,6mo,unconditional,0.94,0.91,1.0,1.0
ladder:ai:100,6mo,sq,0.94,0.9105000000000001,1.0,1.0005433306567684
ladder:ai:100,6mo,p1,0.945,0.9155,1.0053191489361701,1.0060865494218358
ladder:ai:100,6mo,p2a,0.92,0.9,0.9787234042553192,0.9888264649460884
ladder:ai:100,6mo,p2b,0.9,0.8895,0.9574468085106383,0.9769938117575568
ladder:ai:100,6mo,p3a,0.89,0.89,0.946808510638298,0.9767531845997386
ladder:ai:100,6mo,p3b,0.85,0.8745,0.9042553191489362,0.9593126194074515
ladder:ai:100,6mo,p4,0.88,0.895,0.9361702127659575,0.9816384441777529
ladder:ai:100,6mo,p5,0.8,0.859,0.8510638297872342,0.940822086704181
ladder:ai:100,6mo,eci_p10,0.88,0.8734999999999999,0.9361702127659575,0.9583001519808654
ladder:ai:100,6mo,eci_p25,0.91,0.8895,0.9680851063829788,0.9764957038559477
ladder:ai:100,6mo,eci_p50,0.94,0.905,1.0,1.0
ladder:ai:100,6mo,eci_p75,0.965,0.9255,1.0265957446808511,1.0175995145094285
ladder:ai:100,6mo,eci_p90,0.98,0.938,1.0425531914893618,1.0349675814907644
ladder:ai:100,12mo,unconditional,0.985,0.9675,1.0,1.0
ladder:ai:100,12mo,sq,0.986,0.968,1.001015228426396,1.0015432025825945
ladder:ai:100,12mo,p1,0.988,0.9675,1.0030456852791878,1.0025529783695362
ladder:ai:100,12mo,p2a,0.978,0.9664999999999999,0.9928934010152284,0.997440487228372
ladder:ai:100,12mo,p2b,0.965,0.963,0.9796954314720812,0.9938423444680776
ladder:ai:100,12mo,p3a,0.96,0.9615,0.9746192893401014,0.9917926529028398
ladder:ai:100,12mo,p3b,0.94,0.9544999999999999,0.9543147208121827,0.9850676622700445
ladder:ai:100,12mo,p4,0.955,0.9624999999999999,0.9695431472081218,0.9923122245247308
ladder:ai:100,12mo,p5,0.9,0.944,0.9137055837563453,0.9741350838329315
ladder:ai:100,12mo,eci_p10,0.96,0.949,0.9746192893401014,0.9793583656928777
ladder:ai:100,12mo,eci_p25,0.975,0.962,0.9898477157360406,0.9928140541312035
ladder:ai:100,12mo,eci_p50,0.985,0.9675,1.0,1.0
ladder:ai:100,12mo,eci_p75,0.993,0.9684999999999999,1.0081218274111676,1.0051137779097286
ladder:ai:100,12mo,eci_p90,0.997,0.969,1.0121827411167512,1.0101950028010076
ladder:ai:100,2028,unconditional,0.998,0.9915,1.0,1.0
ladder:ai:100,2028,sq,0.999,0.993,1.001002004008016,1.0005008765653411
ladder:ai:100,2028,p1,0.9991,0.9935,1.0011022044088176,1.000601021791213
ladder:ai:100,2028,p2a,0.996,0.9914000000000001,0.9979959919839679,0.999398212894338
ladder:ai:100,2028,p2b,0.991,0.99135,0.9929859719438878,0.9988465761170886
ladder:ai:100,2028,p3a,0.99,0.9913000000000001,0.9919839679358717,0.9987962652612319
ladder:ai:100,2028,p3b,0.98,0.9913000000000001,0.9819639278557114,0.9972909196201044
ladder:ai:100,2028,p4,0.988,0.9912,0.9899799599198397,0.9986956359460541
ladder:ai:100,2028,p5,0.96,0.987,0.9619238476953907,0.992963747834773
ladder:ai:100,2028,eci_p10,0.991,0.99,0.9929859719438878,0.9959834114133684
ladder:ai:100,2028,eci_p25,0.995,0.9913000000000001,0.996993987975952,0.9987962652612319
ladder:ai:100,2028,eci_p50,0.998,0.9915,1.0,1.0
ladder:ai:100,2028,eci_p75,0.999,0.9937,1.001002004008016,1.000802532420945
ladder:ai:100,2028,eci_p90,0.9995,0.9954000000000001,1.001503006012024,1.0012544225229345
ladder:ai:100,2030,unconditional,0.9995,0.9975,1.0,1.0
