model,question,target_percent,research_mean_percent,research_mae_pp,constant_50_mae_pp
astra,mortgage,40.5,46.0,5.499999999999997,9.499999999999996
astra,housing,48.0,46.33333333333333,1.6666666666666645,2.0000000000000018
astra,measles,61.0,24.333333333333336,36.666666666666664,10.999999999999998
astra,global_heat,74.6,32.33333333333333,42.266666666666666,24.6
astra,miami,45.5,34.0,11.5,4.499999999999998
astra,austin,56.49999999999999,34.0,22.499999999999993,6.499999999999995
astra,dune,2.0,8.666666666666668,6.666666666666667,48.0
fable,mortgage,40.5,30.0,10.500000000000004,9.499999999999996
fable,housing,48.0,42.66666666666667,5.333333333333331,2.0000000000000018
fable,measles,61.0,6.666666666666667,54.33333333333333,10.999999999999998
fable,global_heat,74.6,31.666666666666664,42.93333333333334,24.6
fable,miami,45.5,42.0,3.500000000000003,4.499999999999998
fable,austin,56.49999999999999,43.333333333333336,13.166666666666663,6.499999999999995
fable,dune,2.0,4.0,2.0,48.0
gemini,mortgage,40.5,35.0,5.500000000000005,9.499999999999996
gemini,housing,48.0,51.66666666666667,5.66666666666667,2.0000000000000018
gemini,measles,61.0,13.0,48.0,10.999999999999998
gemini,global_heat,74.6,11.333333333333332,63.266666666666666,24.6
gemini,miami,45.5,34.333333333333336,11.166666666666668,4.499999999999998
gemini,austin,56.49999999999999,37.333333333333336,19.16666666666666,6.499999999999995
gemini,dune,2.0,9.666666666666666,7.666666666666667,48.0
